market_id,category,side,entry_at,exit_at,size_usd,pnl_usd,pnl_pct,exit_reason,won,suspect_classification,question
9608,us_cpi_above_consensus,BUY_YES,2026-04-18T00:00:00+00:00,2026-05-17T22:00:48.078022+00:00,500.0,168.17,0.3363,end_of_data,True,True,Will South African inflation be between 4.1% and 4.4% in 2026?
6045,us_gdp_above_consensus,BUY_YES,2026-04-18T00:00:02+00:00,2026-04-28T18:00:10+00:00,500.0,2602.93,5.2059,convergence,True,False,Will US GDP growth in 2026 be between 1.0% and 1.5%?
9459,us_gdp_above_consensus,BUY_YES,2026-04-18T00:00:02+00:00,2026-04-28T18:00:10+00:00,500.0,1124.6,2.2492,convergence,True,False,Will UK annual GDP growth in 2026 be between 4% and 5%?
9588,us_gdp_above_consensus,BUY_YES,2026-04-18T00:00:02+00:00,2026-05-17T22:00:48.078022+00:00,500.0,401.96,0.8039,end_of_data,True,False,Will world GDP growth be 3.1% in 2026?
12372,us_gdp_above_consensus,BUY_YES,2026-04-18T00:00:02+00:00,2026-04-28T18:00:10+00:00,500.0,1793.05,3.5861,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be less than 0.7%?
10897,us_cpi_above_consensus,BUY_YES,2026-04-18T00:00:03+00:00,2026-05-17T22:00:48.078022+00:00,500.0,226.06,0.4521,end_of_data,True,True,Will South Korea’s 2026 Annual Inflation be between 2.4% and 2.6%?
9578,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:51+00:00,2026-05-17T22:00:48.078022+00:00,500.0,732.47,1.4649,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be between 3.50% and 3.99%?
9604,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:51+00:00,2026-05-17T22:00:48.078022+00:00,500.0,480.41,0.9608,end_of_data,True,True,Will South African inflation be between 2.9% and 3.2% in 2026?
9458,us_gdp_above_consensus,BUY_YES,2026-04-18T06:00:51+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-165.02,-0.33,end_of_data,False,False,Will UK annual GDP growth in 2026 be between 3% and 4%?
10898,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:53+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-69.55,-0.1391,end_of_data,False,True,Will South Korea’s 2026 Annual Inflation be between 2.7% and 2.9%?
9090,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-277.11,-0.5542,end_of_data,False,True,Will the UK’s 2026 inflation be between 2.5% and 2.9%?
9610,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-46.84,-0.0937,end_of_data,False,True,Will South African inflation be between 4.7% and 5.0% in 2026?
11043,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:54+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-351.41,-0.7028,end_of_data,False,True,Will India’s 2026 Annual Inflation be between 3.75% and 4.49%?
9568,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:55+00:00,2026-05-17T22:00:48.078022+00:00,500.0,422.89,0.8458,end_of_data,True,True,Will Canada’s 2026 inflation be between 3.0% and 3.4%?
6243,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:56+00:00,2026-04-28T18:00:04+00:00,500.0,374.06,0.7481,convergence,True,True,Will inflation reach more than 4% in 2026?
9580,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:56+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-228.98,-0.458,end_of_data,False,True,Will Brazil’s Annual Inflation in 2026 be between 4.50% and 4.99%?
12377,us_gdp_above_consensus,BUY_YES,2026-04-18T06:00:56+00:00,2026-04-28T18:00:04+00:00,500.0,7887.97,15.7759,convergence,True,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be between 2.3% and 2.6%?
8572,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:57+00:00,2026-05-17T22:00:48.078022+00:00,500.0,2626.67,5.2533,end_of_data,True,True,Will Canada’s 2026 inflation be between 1.5% and 1.9%?
11041,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:57+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-323.53,-0.6471,end_of_data,False,True,Will India’s 2026 Annual Inflation be between 2.25% and 2.99%?
9585,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:58+00:00,2026-05-17T22:00:48.078022+00:00,500.0,665.31,1.3306,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be at least 7.00%?
9283,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:59+00:00,2026-04-28T18:00:07+00:00,500.0,954.52,1.909,convergence,True,True,Will Argentina’s annual inflation in 2026 be between 35% and 39.9%?
9593,us_gdp_above_consensus,BUY_YES,2026-04-18T06:00:59+00:00,2026-04-28T18:00:07+00:00,500.0,17805.03,35.6101,convergence,True,False,Will world GDP growth be 3.6% in 2026?
9611,us_cpi_above_consensus,BUY_YES,2026-04-18T06:00:59+00:00,2026-04-28T18:00:07+00:00,500.0,480.21,0.9604,convergence,True,True,Will South African inflation be greater than 5.0% in 2026?
9572,eu_hicp_above_consensus,BUY_YES,2026-04-18T12:00:41+00:00,2026-05-17T22:00:48.078022+00:00,500.0,1001.68,2.0034,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be between 2.8% and 3.0%?
6245,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:47+00:00,2026-05-17T22:00:48.078022+00:00,500.0,46.26,0.0925,end_of_data,True,True,Will inflation reach more than 6% in 2026?
9276,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:47+00:00,2026-04-29T18:00:04+00:00,500.0,714.16,1.4283,convergence,True,True,Will China's annual inflation in 2026 be between 1.1% and 1.5%?
9583,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:47+00:00,2026-05-17T22:00:48.078022+00:00,500.0,33.16,0.0663,end_of_data,True,True,Will Brazil’s Annual Inflation in 2026 be between 6.00% and 6.49%?
9606,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:48+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-110.2,-0.2204,end_of_data,False,True,Will South African inflation be between 3.5% and 3.8% in 2026?
9280,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:51+00:00,2026-05-17T22:00:48.078022+00:00,500.0,37.34,0.0747,end_of_data,True,True,Will Argentina’s annual inflation in 2026 be between 20% and 24.9%?
9460,us_gdp_above_consensus,BUY_YES,2026-04-18T12:00:51+00:00,2026-04-28T18:00:04+00:00,500.0,4232.03,8.4641,convergence,True,False,Will UK annual GDP growth in 2026 be 5% or higher?
11349,us_gdp_above_consensus,BUY_YES,2026-04-18T12:00:51+00:00,2026-04-28T18:00:04+00:00,500.0,702.17,1.4043,convergence,True,False,Will Japan GDP growth in Q1 2026 be between -0.3% and -0.1%?
9284,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:53+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-11.18,-0.0224,end_of_data,False,True,Will Argentina’s annual inflation in 2026 be at least 45%?
9281,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:56+00:00,2026-05-17T22:00:48.078022+00:00,500.0,83.25,0.1665,end_of_data,True,True,Will Argentina’s annual inflation in 2026 be between 30% and 34.9%?
9086,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:59+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-458.56,-0.9171,end_of_data,False,True,Will the UK’s 2026 inflation be less than 1.0%?
9573,us_cpi_above_consensus,BUY_YES,2026-04-18T12:00:59+00:00,2026-05-17T22:00:48.078022+00:00,500.0,343.67,0.6873,end_of_data,True,True,Will China's annual inflation in 2026 be between 2.0% and 2.4%?
9457,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:00+00:00,2026-05-17T22:00:48.078022+00:00,500.0,1304.63,2.6093,end_of_data,True,False,Will UK annual GDP growth in 2026 be between 2% and 3%?
9456,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:00+00:00,2026-04-28T18:00:10+00:00,500.0,544.86,1.0897,convergence,True,False,Will UK annual GDP growth in 2026 be between 1% and 2%?
9592,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:01+00:00,2026-04-28T18:00:10+00:00,500.0,4441.72,8.8834,convergence,True,False,Will world GDP growth be 3.5% in 2026?
11040,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:01+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-326.08,-0.6522,end_of_data,False,True,Will India’s 2026 Annual Inflation be between 1.50% and 2.24%?
12378,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:01+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-376.51,-0.753,end_of_data,False,False,Will Brazil’s Q1 2026 GDP growth rate (YoY) be at least 2.7%?
9272,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:03+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-494.08,-0.9882,end_of_data,False,True,Will China's annual inflation in 2026 be between -0.9% and -0.5%?
11050,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:03+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-164.1,-0.3282,end_of_data,False,True,Will Mexico’s 2026 Annual Inflation be between 3.50% and 3.99%?
11051,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:03+00:00,2026-05-17T19:37:20.669364+00:00,500.0,252.82,0.5056,convergence,True,True,Will Mexico’s 2026 Annual Inflation be between 4.00% and 4.49%?
9278,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:04+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-212.42,-0.4248,end_of_data,False,True,Will China's annual inflation in 2026 be at least 2.5%?
11348,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:04+00:00,2026-05-17T22:00:48.078022+00:00,500.0,233.76,0.4675,end_of_data,True,False,Will Japan GDP growth in Q1 2026 be less than or equal to -0.4%?
6044,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:05+00:00,2026-05-17T22:00:48.078022+00:00,500.0,620.19,1.2404,end_of_data,True,False,Will US GDP growth in 2026 be between 0.5% and 1.0%?
10896,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:05+00:00,2026-05-17T22:00:48.078022+00:00,500.0,476.66,0.9533,end_of_data,True,True,Will South Korea’s 2026 Annual Inflation be between 2.1% and 2.3%?
6047,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:07+00:00,2026-05-17T22:00:48.078022+00:00,500.0,1027.38,2.0548,end_of_data,True,False,Will US GDP growth in 2026 be between 2.0% and 2.5%?
11047,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:07+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-404.73,-0.8095,end_of_data,False,True,Will Mexico’s 2026 Annual Inflation be less than 2.50%?
11048,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:09+00:00,2026-05-17T22:00:48.078022+00:00,500.0,-415.23,-0.8305,end_of_data,False,True,Will Mexico’s 2026 Annual Inflation be between 2.50% and 2.99%?
9092,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:10+00:00,2026-05-17T22:00:48.078022+00:00,500.0,22.34,0.0447,end_of_data,True,True,Will the UK’s 2026 inflation be at least 4.5%?
9603,us_cpi_above_consensus,BUY_YES,2026-04-18T18:00:10+00:00,2026-05-17T22:00:48.078022+00:00,500.0,383.29,0.7666,end_of_data,True,True,Will South African inflation be between 2.6% and 2.9% in 2026?
11350,us_gdp_above_consensus,BUY_YES,2026-04-18T18:00:10+00:00,2026-04-28T18:00:10+00:00,500.0,1947.23,3.8945,convergence,True,False,Will Japan GDP growth in Q1 2026 be between 0.0% and 0.2%?
9098,eu_hicp_above_consensus,BUY_YES,2026-04-18T18:00:11+00:00,2026-05-17T22:00:48.078022+00:00,500.0,12396.66,24.7933,end_of_data,True,True,Will the Eurozone's 2026 Annual Inflation be between 1.6% and 1.8%?
